JDAY,WB,TP-Waterbody(kg),TP-Sediment(kg),TP-Plants(kg),OutflowTP(kg),TributaryTP(kg),DistributedTributaryTP(kg),WithdrawalTP(kg),PrecipitationTP(kg),InflowTP(kg),AtmosphericDepositionP(kg),SED+SOD_PRelease(kg),PFluxtoSediments(kg),TN-Waterbody(kg),TN-Sediment(kg),TN-Plants(kg),OutflowTN(kg),TributaryTN(kg),DistributedTributaryTN(kg),WithdrawalTN(kg),PrecipitationTN(kg),InflowTN(kg),AtmosphericDepositionN(kg),NH3GasLoss(kg),SED+SOD_NRelease(kg),NFluxtoSediments(kg
    64.500,   1,  0.20466036E+05,   0.00000000E+00,   0.00000000E+00,   0.81595614E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.19656000E-01,   0.10609664E+00,   0.15950230E+00,   0.00000000E+00,   0.42800593E+06,   0.00000000E+00,   0.00000000E+00,   0.22570098E+02,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.29090880E+01,   0.12077951E-01,   0.48312516E+00,   0.15950230E+01,   0.00000000E+00,
    71.500,   1,  0.16133296E+05,   0.00000000E+00,   0.00000000E+00,   0.64557147E+02,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.12733500E+00,   0.17948653E+02,   0.29911065E+02,   0.00000000E+00,   0.42551391E+06,   0.00000000E+00,   0.00000000E+00,   0.20530169E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.40609118E+03,   0.19970606E+01,   0.71441235E+02,   0.29911065E+03,   0.00000000E+00,
    78.500,   1,  0.14764130E+05,   0.00000000E+00,   0.00000000E+00,   0.12145998E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.75768038E+02,   0.35849069E+02,   0.65390912E+02,   0.00000000E+00,   0.43848511E+06,   0.00000000E+00,   0.00000000E+00,   0.45863496E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.21281596E+04,   0.38970451E+01,   0.16919395E+03,   0.65390912E+03,   0.00000000E+00,
    85.500,   1,  0.14696574E+05,   0.00000000E+00,   0.00000000E+00,   0.21776411E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.24452641E+03,   0.53860905E+02,   0.10697678E+03,   0.00000000E+00,   0.45715422E+06,   0.00000000E+00,   0.00000000E+00,   0.10913708E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.51701216E+04,   0.57176074E+01,   0.29637073E+03,   0.10697678E+04,   0.00000000E+00,
    92.500,   1,  0.14727234E+05,   0.00000000E+00,   0.00000000E+00,   0.30761425E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.41594974E+03,   0.71956565E+02,   0.15341361E+03,   0.00000000E+00,   0.47005060E+06,   0.00000000E+00,   0.00000000E+00,   0.18336065E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.80935057E+04,   0.74556426E+01,   0.45938726E+03,   0.15341361E+04,   0.00000000E+00,
    99.500,   1,  0.14332301E+05,   0.00000000E+00,   0.00000000E+00,   0.35808019E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.48114440E+03,   0.90095935E+02,   0.21137905E+03,   0.00000000E+00,   0.47417190E+06,   0.00000000E+00,   0.00000000E+00,   0.23191815E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.97735436E+04,   0.91074427E+01,   0.72932471E+03,   0.21137905E+04,   0.00000000E+00,
   106.500,   1,  0.15014197E+05,   0.00000000E+00,   0.00000000E+00,   0.41469500E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.72376919E+03,   0.10828313E+03,   0.27838466E+03,   0.00000000E+00,   0.48979540E+06,   0.00000000E+00,   0.00000000E+00,   0.29804046E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.14295761E+05,   0.10714073E+02,   0.11021435E+04,   0.27838466E+04,   0.00000000E+00,
   113.500,   1,  0.15550340E+05,   0.00000000E+00,   0.00000000E+00,   0.48437209E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.10196446E+04,   0.12634395E+03,   0.35302954E+03,   0.00000000E+00,   0.50313241E+06,   0.00000000E+00,   0.00000000E+00,   0.38403554E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.18012927E+05,   0.12313139E+02,   0.13221090E+04,   0.35302954E+04,   0.00000000E+00,
   120.500,   1,  0.16608539E+05,   0.00000000E+00,   0.00000000E+00,   0.50848936E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.12224581E+04,   0.14430596E+03,   0.44355683E+03,   0.00000000E+00,   0.52723550E+06,   0.00000000E+00,   0.00000000E+00,   0.41481625E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.20332845E+05,   0.13907308E+02,   0.18616324E+04,   0.44355683E+04,   0.00000000E+00,
   127.500,   1,  0.16903187E+05,   0.00000000E+00,   0.00000000E+00,   0.55962484E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.13754140E+04,   0.16216539E+03,   0.54595140E+03,   0.00000000E+00,   0.53758029E+06,   0.00000000E+00,   0.00000000E+00,   0.48500861E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.23401221E+05,   0.15496246E+02,   0.22085320E+04,   0.54548482E+04,   0.00000000E+00,
