JDAY,WB,TP-Waterbody(kg),TP-Sediment(kg),TP-Plants(kg),OutflowTP(kg),TributaryTP(kg),DistributedTributaryTP(kg),WithdrawalTP(kg),PrecipitationTP(kg),InflowTP(kg),AtmosphericDepositionP(kg),SED+SOD_PRelease(kg),PFluxtoSediments(kg),TN-Waterbody(kg),TN-Sediment(kg),TN-Plants(kg),OutflowTN(kg),TributaryTN(kg),DistributedTributaryTN(kg),WithdrawalTN(kg),PrecipitationTN(kg),InflowTN(kg),AtmosphericDepositionN(kg),NH3GasLoss(kg),SED+SOD_NRelease(kg),NFluxtoSediments(kg
    64.500,   1,  0.20466036E+05,   0.00000000E+00,   0.00000000E+00,   0.81595614E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.19656000E-01,   0.10609664E+00,   0.15950230E+00,   0.00000000E+00,   0.42800593E+06,   0.00000000E+00,   0.00000000E+00,   0.22570098E+02,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.29090880E+01,   0.12077951E-01,   0.00000000E+00,   0.15950230E+01,   0.00000000E+00,
    71.500,   1,  0.16133049E+05,   0.00000000E+00,   0.00000000E+00,   0.64568786E+02,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.12733500E+00,   0.17949245E+02,   0.29913118E+02,   0.00000000E+00,   0.42551759E+06,   0.00000000E+00,   0.00000000E+00,   0.20530488E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.40610285E+03,   0.19971247E+01,   0.00000000E+00,   0.29913118E+03,   0.00000000E+00,
    78.500,   1,  0.14764863E+05,   0.00000000E+00,   0.00000000E+00,   0.12147289E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.75780664E+02,   0.35850317E+02,   0.65395790E+02,   0.00000000E+00,   0.43848858E+06,   0.00000000E+00,   0.00000000E+00,   0.45856408E+04,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.21283920E+04,   0.38971732E+01,   0.00000000E+00,   0.65395790E+03,   0.00000000E+00,
    85.500,   1,  0.14696648E+05,   0.00000000E+00,   0.00000000E+00,   0.21720828E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.24463679E+03,   0.53870344E+02,   0.10699976E+03,   0.00000000E+00,   0.45717421E+06,   0.00000000E+00,   0.00000000E+00,   0.10913200E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.51720989E+04,   0.57185331E+01,   0.00000000E+00,   0.10699976E+04,   0.00000000E+00,
    92.500,   1,  0.14724620E+05,   0.00000000E+00,   0.00000000E+00,   0.30709397E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.41591387E+03,   0.71955158E+02,   0.15336958E+03,   0.00000000E+00,   0.47007329E+06,   0.00000000E+00,   0.00000000E+00,   0.18331734E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.80928873E+04,   0.74555056E+01,   0.00000000E+00,   0.15336958E+04,   0.00000000E+00,
    99.500,   1,  0.14329636E+05,   0.00000000E+00,   0.00000000E+00,   0.35754018E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.48112369E+03,   0.90095504E+02,   0.21127775E+03,   0.00000000E+00,   0.47421007E+06,   0.00000000E+00,   0.00000000E+00,   0.23187032E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.97731390E+04,   0.91073996E+01,   0.00000000E+00,   0.21127775E+04,   0.00000000E+00,
   106.500,   1,  0.15014141E+05,   0.00000000E+00,   0.00000000E+00,   0.41415368E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.72365398E+03,   0.10828097E+03,   0.27824386E+03,   0.00000000E+00,   0.48987130E+06,   0.00000000E+00,   0.00000000E+00,   0.29794955E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.14294005E+05,   0.10713877E+02,   0.00000000E+00,   0.27824386E+04,   0.00000000E+00,
   113.500,   1,  0.15553064E+05,   0.00000000E+00,   0.00000000E+00,   0.48397777E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.10196312E+04,   0.12634425E+03,   0.35281408E+03,   0.00000000E+00,   0.50323373E+06,   0.00000000E+00,   0.00000000E+00,   0.38394348E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.18012648E+05,   0.12313161E+02,   0.00000000E+00,   0.35281408E+04,   0.00000000E+00,
   120.500,   1,  0.16609896E+05,   0.00000000E+00,   0.00000000E+00,   0.50813780E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.12224468E+04,   0.14430572E+03,   0.44324983E+03,   0.00000000E+00,   0.52735897E+06,   0.00000000E+00,   0.00000000E+00,   0.41473612E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.20332575E+05,   0.13907282E+02,   0.00000000E+00,   0.44324983E+04,   0.00000000E+00,
   127.500,   1,  0.16900662E+05,   0.00000000E+00,   0.00000000E+00,   0.55928981E+03,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.13754045E+04,   0.16216533E+03,   0.54562326E+03,   0.00000000E+00,   0.53769011E+06,   0.00000000E+00,   0.00000000E+00,   0.48502966E+05,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.23400977E+05,   0.15496235E+02,   0.00000000E+00,   0.54562326E+04,   0.00000000E+00,
